Post,message
1,#WesternU students take on the challenge to solve some of the world's most pressing issues at the annual World's Challenge Challenge competition. Final competition is March 24. Here's a look at the top 10 finalists. @westernuIntl #WorldsChallengeChallenge https://t.co/WKyIFT5bK5
2,"RT @we_rpn : In response to the #nursing shortage in #Ontario, @WesternU is offering a program to help #nurses fast track their qualifications to become #RNs. The program will provide the opportunity to #RPNs who have some Univ. experience to receive a BSc in nursing. https://t.co/UCwP2NOXRG https://t.co/vcjvRdEtKb"
3,"RT @westernuSocSci : “If the land isn’t doing well, then we as a people aren’t doing well, and our youth aren’t doing well,” said Hillary McGregor, an Anishnaabe youth from Whitefish River First Nation, part of the Climate Crisis &amp; Multi-Generational Resilience Wisdom Council. https://t.co/WexfrRj1Vt https://t.co/wqIqCJQyKY"
4,"RT @westernulibs : Isn't it a-Mezz-ing? ??

Pop by Weldon to test out the new study spots on the mezzanine. Apart from a few finishing touches, the Weldon Learning Commons is nearly complete. ??

Learn more, #WesternU ??
https://t.co/Cfc6hOlu5z https://t.co/Q0FvitxNvi"
5,"The #WesternU community mourns the passing of philanthropist Sonia Labatt, and indefatigable supporter of the university, of #nursing education and #healthsciences. #philanthropy @westernuFHS https://t.co/sNyzPs5jei"
6,"RT @iveybusiness : We are pleased to share our new strategic plan, which builds on our nearly 100-year legacy of real-world leadership. The new strategy aims to inspire leaders for a sustainable and prosperous world and address critical issues facing business and society.  
https://t.co/5dXQsplHog"
7,"“I stay in London because I planted my roots here. Our way was paved for us, and it’s our role to pave the way for those who are coming after us.” - @ChristinaLord1 

Keep learning after #BlackHistoryMonth with #WesternU:
https://t.co/9bEIXfoXiG"
8,"RT @westernuSE : Calling all @WesternU, @BresciaUC, @huronatwestern &amp; @KingsAtWestern students with disabilities! We're pleased to launch the Disability Community Discord server, where students with self-identified or diagnosed disabilities can connect and build community. https://t.co/dQK9c7Y9ut https://t.co/fmUas8bEFg"
9,RT @Jamie_Seabrook1 : Dr. Peggy O'Neil from @BresciaUC giving the keynote presentation at the Building Sustainable Food Systems Symposium @FanshaweCollege @WesternU @OCInnovation @LondonEDC https://t.co/iGNBDZjYuK
10,"A new, one-of-a-kind #WesternU multi-disciplinary specialization for graduate students will help them use machine learning and #AI to solve complex problems in health care and medicine. @SchulichMedDent @westernuScience @westernuEng #cdnpse #onpse https://t.co/dKeKBf4V9L"
11,"""You have to start somewhere, and sometimes starting small is easier."" #WesternU prof and #videogame labour expert @jweststar spoke to The Hollywood Reporter about @VodeoGames and @RavenSoftware recognizing worker groups and unions, rare for the industry. https://t.co/vUmEGURbp9"
12,RT @westernuCS : #KeepLearning this spring?? Here are our top 5 course recommendations.   https://t.co/yQ8Co9gaWa #WesternU https://t.co/1uNSPOrbrT
13,"RT @westernulibs : It's officially spring and two things remain here at #WesternU: 

1. Masks are still required. ??
2. Wordle is still very much a thing. ??

You can pick up your medical-grade ASTM Level 3 masks at any of our five libraries with your Western ONECard. https://t.co/vBxV1zey6p"
14,"March 21 is known around the world as the International Day for Elimination of Racial Discrimination.  

#WesternU stands with our community to address and dismantle racism.  
@westernuSE @westernuIntl #FightRacism https://t.co/xgRqV9bX3p"
15,"Today marks the celebration of Nowruz [now-rooz]  (also called Navroz) for many communities around the world. It is described as Persian New Year. 

#WesternU wishes those celebrating Nowruz Mubarak! https://t.co/ahB1LFl8az"
16,"Could electrodialysis work as a nuclear decontamination method? Check out the research by MSc candidate Baian Almusned! 

The Inspiring Minds campaign showcases graduate research from #WesternU.
#GradLifeWesternU @westernuScience @VPRWesternU"
17,#WesternU Professor Emeritus Gordon McBean joined @CBCOntMorning to discuss the potential impacts the Russian invasion of Ukraine could have on climate change. https://t.co/7z7ul5TxFX
18,"Today marks the celebration of #Holi.  

Though Holi is celebrated throughout the world today, the origins of this significant day come from the Indian subcontinent.

Holi Hai #WesternU! https://t.co/pD6XRCqcdD"
19,Thanks #WesternU for taking care! https://t.co/Yu796u7rsT
20,.@BresciaUC prof and home economist Peggy O'Neil shares her thoughts on food system #sustainability and cultivating food security from the ground up. She will keynote a symposium on food systems sustainability on March 22. #WesternU #ldnont #foodsecurity https://t.co/nLKa5oXAux
21,"They represent some of the best in world-changing research, teaching and leadership. Now #WesternU pathologist Subrata Chakrabarti, astrophysicist @PBarmby and geographer Isaac Luginaah, can add 'Distinguished University Professor' to their titles. https://t.co/BEG0wzrIKw"
22,RT @iveybusiness : Ivey's Gerard Seijts joined @CBCOntarioToday to discuss Volodymyr Zelenskyy's leadership and leader character following Zelenskyy's speech to Canadian Parliament. @iveyleadership Listen here (begins at 8:13):
23,"RT @OCInnovation : Excited to join an incredible panel of experts next week to explore the innovation, ideas and technologies that contribute to food system sustainability! ?? 

Register here: https://t.co/zxVIfzhhXG

With presenting partners: @LondonEDC | @WesternU | @FanshaweCollege | @BresciaUC https://t.co/7s1d5ERHf3"
24,"Hey #WesternU! If you’re celebrating St. Patrick’s Day today, please consume responsibly. Take care of yourself, each other and your #LdnOnt community. https://t.co/YxKr6V3pDz"
25,Physicist-turned-neuroscientist Andrea Soddu has developed unique brain-imaging software that is helping a #ldnont law firm strengthen the case for better support for clients with #concussions. #WesternU #acquiredbraininjury @BMI_WesternU @SiskindsLLP https://t.co/qU09bFsgBm
26,"Thinking about ""what's next?"" as you approach the end of your #WesternU undergraduate studies? 

Join @westernuCS virtual information session on Tuesday, March 22 to learn more about Marketing, PR, and Not-for-Profit Management Post-Degree Diploma programs. 
Register here:"
27,"If you’re going green tomorrow, take care of yourself, each other and your #LdnOnt community. ??

Be safe by sticking with your friends and consuming responsibly.
#WesternU https://t.co/Ij79fR40gC"
28,"Celebrating the 30th anniversary of #WesternU Peer Guide program, a powerful mentorship and peer support initiative that has helped thousands of international students thrive as they adjust to university life. @westernuIntl #community https://t.co/nSBg29NrjZ"
29,"#WesternU grad Charity Kabango, co-founder and director of @es_partners shares her journey from engineer to 'entrepreneur serving entrepreneurs' in Africa. @westernuEng @huronatwestern @ckabango #Rwanda https://t.co/sIfcvTA6vW"
30,"#DYK that songbirds' fear of predators can reduce their reproductive rate and the survival rate of their offspring? #WesternU prof Liana Zanette joined @CBCQuirks to discuss her research. @westernuScience 
https://t.co/gh6xI64Vci"
31,"RT @westernuAlumni : Have you got your copy of Long Bright River by @lizmoorebooks yet?  

The first session of the new Alumni Book Club runs March 18 - May 20. More than 700 #WesternU grads have already signed up to share their thoughts via the private forum, hosted by PBC Guru."
32,"Planning your St. Patrick’s Day?

Have fun and be sure to take care of yourself, your friends and your #WesternU and #LdnOnt community. 

We are all responsible for working together to create a safer community. https://t.co/7qegl26zgb"
33,"RT @MorrissetteEntr : Still on the fence if our Entrepreneurial Summer Internship (ESI) is for you? 

?OUR PROGRAM PERKS ?
Mentorship, In-House Support, Co-Working Space, Weekly Programming &amp; Funding ($10,000 over the summer). 

So what are you waiting for?! Apply today at: https://t.co/FnvDGgxli0"
34,RT @westernuFM : Project milestone?? Come check out Weldon Library's mezzanine. The newly renovated floor features multimedia breakout rooms and collaborative study space. #WeldonRenovation #StudentSpace @WesternU https://t.co/5hE1tnA7Qr
35,"Traffic alert: University Drive Bridge is *closed* to all motor vehicles from 6:00 a.m. to 6:00 p.m. today. Cyclists and pedestrians can still access the bridge. 

@LTCLdnOnt and campus shuttles will be rerouted during the closure.
#WesternU #LdnOnt
https://t.co/J50dzUxtzF https://t.co/HijiaJDwtP"
36,RT @westernuIntl : Did you know there is a way to add global appeal to your #WesternU undergraduate degree while developing your global awareness? Learn more about the 4 categories and apply now for the Global &amp; Intercultural Engagement Honour. https://t.co/YA7PEPK29i. #globalwesternu @westernuSE https://t.co/JqyrN5bdqc
37,"This week's #WesternU vaccination centre hours (located in Thames Hall, Room 3189):
Monday, March 14 - Friday, March 18, 9:00 a.m. to 1:00 p.m.
Only walk-in appointments are available."
38,"RT @LTCLdnOnt : DETOUR: Due to work on the University bridge, Routes 6, 13, 27 &amp; 106 will be on detour as of first bus Monday March 14 to approx. 7pm. Stops along University Dr between Richmond and Perth/Lambton will not be serviced and delays on these routes should be anticipated. #LdnOnt"
39,"RT @westernuSE : Wellness &amp; Well-being will be sponsoring a Community of Care Session for Ukrainian students on Friday, March 18 from 11am - 2.m in Thames Hall, Rm 3118. Western grad &amp; former president of #WesternU's Ukrainian Student Club, Halyna Polityka, RP, M..Ed. will lead the event. https://t.co/w5zjENrwor"
40,A study involving @SchulichMedDent prof @JenLGuthrie found that white-tailed deer in Ontario may have transmitted #COVID19 to a human. @DiscoverMag #WesternU https://t.co/FgpKt4Fpyd
41,"""The time has come to invest in the research to make these great technologies even better, more effective, and develop new tools to be better prepared and equipped for the next unprecedented event."" 
— Anwar Haque, professor and telecommunications industry expert
#WesternU"
42,"""The most important lesson that we learned during the pandemic is that our health and well-being as a society depend largely on the health and well-being of the most vulnerable.""
— @KateHeeChoi, demographer and director of the Centre for Research on Social Inequality
#WesternU"
43,"Monday marks the beginning of @westernuSE's ReShape Week - a four-day series of talks &amp; events focused on gender-based and sexual violence education and prevention. Speakers are open to all #WesternU students, staff, and faculty. Learn more &amp; register at: 
https://t.co/2fOmb31i6q"
44,"""Powers that were once taken for granted, or that were entirely unknown to much of the public, have now been made very evident and subjected to public scrutiny, which, at times, has been rather impoverished."" 
— @maxwellsmith, bioethicist &amp; assistant professor 
#WesternU"
45,"Heads up! University Drive Bridge will be closed to motor vehicles on March 14, from 6:00 a.m. to 6:00 p.m. for an annual inspection. 

One sidewalk will be open for pedestrians and cyclists. Drivers, please use an alternate route. 
#WesternU #LdnOnt 
https://t.co/J50dzUxtzF https://t.co/zQzgt7uOIN"
46,"PM @JustinTrudeau will deliver closing remarks at the #WesternU student-led @IDinSTEM virtual conference this weekend, adding to an already-amazing lineup of speakers. #STEM #LdnOnt https://t.co/btHELQha6P"
47,"""Many people are facing ongoing challenges to their physical, cognitive and mental health following recovery from COVID-19 infection, and we don’t yet know whether these will resolve with time."" 
— @Comadork, neuroscientist and professor at @BMI_WesternU
#WesternU"
48,"""Sadly, we’ve learned that the inequities and structural and systemic violence in our society run so deep that they shaped every aspect of our response, and non-response, to the pandemic."" 
— @NadineWathen, CRC in Mobilizing Knowledge on Gender-Based Violence
#WesternU"
49,"Six million deaths, 450 million confirmed cases, 11 billion vaccines administered. Two years after #WHO declared a global pandemic, what have we learned and how do we move forward? #WesternU experts weigh in with insights beyond the numbers. #COVID19 https://t.co/RiJGWiRuuy"
50,"#WesternU is extending its full system of support to those affected by the #Ukraine crisis, including access to financial aid, academic accommodations and mental health services. @westernuIntl https://t.co/REcaUbK71W"
51,A @tvo op-ed co-authored by @westernuFHS professor @susana_caxaj outlines ways in which Ontario can better protect #migrant #farmworkers. #WesternU https://t.co/XPyluY3zZm
