"","Post","Entity","Position","Type","message"
"1","1","March 24","168","Date","#WesternU students take on the challenge to solve some of the world's most pressing issues at the annual World's Challenge Challenge competition. Final competition is March 24. Here's a look at the top 10 finalists. @westernuIntl #WorldsChallengeChallenge https://t.co/WKyIFT5bK5"
"2","1000","Oct 28 from 10:30am","124","Date","RT @westernuCTL : We are excited to share our NEW Teaching for Inclusion Workshop Series!

Join us &amp; Dr. WG Pearson on Oct 28 from 10:30am to noon for a conversation on creating inclusive classroom spaces for trans and non-binary students. #WesternU

Registration is free: https://t.co/OK30jTGQrV https://t.co/Z8GkONJTOd"
"3","1002","1971","22","Date","RT @westernuAlumni : 1971 vs. 2019, still one of the best views on campus! #tbt

??: @westernulibsARC, C.J. Nyssen 
#westernu #purpleandproud #ldnont https://t.co/7jsNgo1wwT"
"4","1002","2019","31","Date","RT @westernuAlumni : 1971 vs. 2019, still one of the best views on campus! #tbt

??: @westernulibsARC, C.J. Nyssen 
#westernu #purpleandproud #ldnont https://t.co/7jsNgo1wwT"
"5","1003","Sally","63","Person","RT @westernufood : Always wanted to get served by a robot? ?? Sally, our Fresh Salad Robot, is ready to make your favourite leafy dish at the touch of a button. Enjoy a wide selection of toppings, right at your fingertips.  ?? 

??Located in the UCC, at the entrance #westernu @WesternU https://t.co/KMAK7YWQsY"
"6","1004","Coyote","169","Organization","A wonderful day to celebrate #CanLit, and to congratulate @ivancoyote, @DaveAlexRoberts &amp; @julie_flett as finalists in the Governor General's Literary Awards. Ivan Coyote currently sits as the #WesternU Chair in Creativity. #purpleandproud #GGBooks2021 https://t.co/xJ9SlazHKA"
"7","1004","Ivan Coyote","164","Person","A wonderful day to celebrate #CanLit, and to congratulate @ivancoyote, @DaveAlexRoberts &amp; @julie_flett as finalists in the Governor General's Literary Awards. Ivan Coyote currently sits as the #WesternU Chair in Creativity. #purpleandproud #GGBooks2021 https://t.co/xJ9SlazHKA"
"8","1004","#GGBooks2021","245","Date","A wonderful day to celebrate #CanLit, and to congratulate @ivancoyote, @DaveAlexRoberts &amp; @julie_flett as finalists in the Governor General's Literary Awards. Ivan Coyote currently sits as the #WesternU Chair in Creativity. #purpleandproud #GGBooks2021 https://t.co/xJ9SlazHKA"
"9","1005","Media Studies PhD","163","Organization","RT @westernuFIMS : The misrepresentation of women frontline workers by Chinese media outlets sparked online backlash during the COVID-19 outbreak.

@westernuFIMS Media Studies PhD candidate @zjm_cari describes how feminists on social media fought back ??@ConversationCA https://t.co/tPXDj5bKiL https://t.co/s41Jx26KB3"
"10","1007","Paul Byrne","118","Person","RT @westernuSpace : Join us this Friday to learn about the second brightest natural object in the night sky with Dr. Paul Byrne! Register here: https://t.co/TqJUKj679E https://t.co/l1LeeUX3S7"
"11","1007","this Friday","29","Date","RT @westernuSpace : Join us this Friday to learn about the second brightest natural object in the night sky with Dr. Paul Byrne! Register here: https://t.co/TqJUKj679E https://t.co/l1LeeUX3S7"
"12","1009","Canada National","24","Location","Olympic gold medalist, Canada National team rower (and @westernuAlumni!) @Suse3 recalls the pinnacle moment at #Tokyo2020 and shares shots of the sweet treats her teammates are happy to taste-test. https://t.co/C9zOElBtED"
"13","1013","Provost","52","Organization","Join Christy Bressette, #WesternU's inaugural Vice Provost &amp; Associate Vice-President of Indigenous Initiatives, Oct 20 at 1 p.m. as she discusses her vision for advancing Indigenous initiatives at Western and across #CdnPSE. Registration is free."
"14","1013","Christy Bressette","6","Person","Join Christy Bressette, #WesternU's inaugural Vice Provost &amp; Associate Vice-President of Indigenous Initiatives, Oct 20 at 1 p.m. as she discusses her vision for advancing Indigenous initiatives at Western and across #CdnPSE. Registration is free."
"15","1014","Nicole Kaniki","245","Person","RT @PHWestern : How can we achieve a more equitable, diverse, inclusive &amp; decolonizing future for higher education? 

Join us @WesternU as we explore a more equitable future for colleges &amp; universities, with Candace Brunette-Debassige, Nicole Kaniki &amp; Mark Daley. #CdnPSE
 https://t.co/fGFVu5di3h https://t.co/teUVSGev7C"
"16","1014","Mark Daley","265","Person","RT @PHWestern : How can we achieve a more equitable, diverse, inclusive &amp; decolonizing future for higher education? 

Join us @WesternU as we explore a more equitable future for colleges &amp; universities, with Candace Brunette-Debassige, Nicole Kaniki &amp; Mark Daley. #CdnPSE
 https://t.co/fGFVu5di3h https://t.co/teUVSGev7C"
"17","1015","2022","159","Date","RT @pjmensink : So excited to be starting this project  with @ExarStudios, @unity and @marinapsaros...Basking sharks finally making their way to @WesternU in 2022! https://t.co/vGWVCqYuvB"
"18","1016","this Friday","43","Date","RT @westernuNursing : Join us (virtually) this Friday as a we pause to reflect on 100 years of nursing education at @WesternU by enclosing a time capsule — only to be opened again in another 50 years. https://t.co/mqFJNuqocd https://t.co/huJte4CD3b https://t.co/xGD21RlB4O"
"19","1017","Cyber Awareness Training","46","Organization","RT @westernuCybSmrt : @WesternU has provided Cyber Awareness Training for all students, staff and faculty! 

Take the training at: https://t.co/pI7TEzcJLn

#data #cybersmart #safe 
@westernuOCH @WesternUSC @WesternMustangs @westernuSE @westernuReg @westernuHousing @westernuSocSci @uwogazette https://t.co/aglDwLP3s9"
"20","1018","DM","157","Organization","RT @westernuAlumni : Calling all pumpkin carvers! ??

Carve a Western-themed pumpkin and send us a photo for a prize. Open to all grads and their families, DM us your photos by October 29.
#westernu #purpleandproud #ldnont https://t.co/srNtpfgzi9"
"21","1018","October 29","178","Date","RT @westernuAlumni : Calling all pumpkin carvers! ??

Carve a Western-themed pumpkin and send us a photo for a prize. Open to all grads and their families, DM us your photos by October 29.
#westernu #purpleandproud #ldnont https://t.co/srNtpfgzi9"
"22","1022","last week","73","Date","@OTrichtchenko @RebeccaZandberg It does appear to be updated to include last week, at this time. Thanks for keeping an eye out!"
"23","1024","This week","1","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Tuesday, Oct. 12: 9 a.m. - 5 p.m.
Wednesday, Oct. 13: 9 a.m. - 8 p.m. 
Thursday, Oct. 14 and Friday, Oct. 15: 9 a.m. - 5 p.m.

https://t.co/wRnrrbudwo"
"24","1024","Tuesday","92","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Tuesday, Oct. 12: 9 a.m. - 5 p.m.
Wednesday, Oct. 13: 9 a.m. - 8 p.m. 
Thursday, Oct. 14 and Friday, Oct. 15: 9 a.m. - 5 p.m.

https://t.co/wRnrrbudwo"
"25","1024","Wednesday","126","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Tuesday, Oct. 12: 9 a.m. - 5 p.m.
Wednesday, Oct. 13: 9 a.m. - 8 p.m. 
Thursday, Oct. 14 and Friday, Oct. 15: 9 a.m. - 5 p.m.

https://t.co/wRnrrbudwo"
"26","1024","Thursday","163","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Tuesday, Oct. 12: 9 a.m. - 5 p.m.
Wednesday, Oct. 13: 9 a.m. - 8 p.m. 
Thursday, Oct. 14 and Friday, Oct. 15: 9 a.m. - 5 p.m.

https://t.co/wRnrrbudwo"
"27","1024","Friday","185","Date","This week's #COVID19 vaccination &amp; testing hours for #WesternU students and employees:
Tuesday, Oct. 12: 9 a.m. - 5 p.m.
Wednesday, Oct. 13: 9 a.m. - 8 p.m. 
Thursday, Oct. 14 and Friday, Oct. 15: 9 a.m. - 5 p.m.

https://t.co/wRnrrbudwo"
"28","1025","://t.co/1BXN3d90fs","255","Date","Basking sharks are big. As in, school-bus-sized and swallow-you-whole big. And soon, #sustainability students in @pjmensink's class will take an #augmentedreality deep dive into the endangered sharks' habitat. #westernu @TidesCommunity @ExarStudios https://t.co/1BXN3d90fs"
"29","1026","Today","166","Date","RT @CityofLdnOnt : Many of us are feeling the emotional strain of living through a global pandemic. It's important to take care of our physical &amp; mental health. Today on #WorldMentalHealthDay show yourself some #LdnKindness &amp; seek out the help you need. 
https://t.co/enTzdKU3LZ

#LdnOnt https://t.co/o6tv4VyKQw"
"30","1027","Western University","41","Organization","RT @LdnIncMag : Western heads downtown: Western University has purchased the Greene-Swift Building at 450 Talbot Street. Read about it here: https://t.co/2zMpKaGNav #ldnont #519ldn #forestcity #519 #swont https://t.co/HGnyP9YEkY"
"31","1029","://t.co/Ph7TBxl299","113","Date","RT @LydiaPoutney : @WesternMustangs JW making an appearance @WesternU's @unitedwayemca kick-off #LocalLove https://t.co/Ph7TBxl299"
"32","103","Today","19","Date","RT @eyeonthefly : Today is Western Day, a celebration of all things #purpleandproud.

The Western community is full of people working on improving this institution, including taking better care of the land the campus is built on. These ?? moments from this past year make me proud to be at Western. https://t.co/OJJruUIlvN"
"33","103","this past year","253","Date","RT @eyeonthefly : Today is Western Day, a celebration of all things #purpleandproud.

The Western community is full of people working on improving this institution, including taking better care of the land the campus is built on. These ?? moments from this past year make me proud to be at Western. https://t.co/OJJruUIlvN"
"34","1030","Canadian","208","Organization","RT @westernuPoliSci : Congratulations! @WesternU Political Science PhD graduate @TylerPoliSci has been awarded the prestigious Governor General’s Gold Medal for 2021, one of the most prestigious awards that Canadian graduate scholars can receive. ????https://t.co/lWIu8r9Ns2 https://t.co/qtBASAKmQv"
"35","1030","2021","162","Date","RT @westernuPoliSci : Congratulations! @WesternU Political Science PhD graduate @TylerPoliSci has been awarded the prestigious Governor General’s Gold Medal for 2021, one of the most prestigious awards that Canadian graduate scholars can receive. ????https://t.co/lWIu8r9Ns2 https://t.co/qtBASAKmQv"
"36","1031","today","101","Date","RT @Kimbchemistry : @westernu colleagues snd students. Please fill this out! As said by Opiyo Olyoa today, it is important to know who is here…….and who isn’t. https://t.co/uEDB0eAAgK"
"37","1034","Western Equity Census.","203","Organization","Get to know #WesternU’s first Associate Vice-President of Equity, Diversity and Inclusion, and grab the link to watch his powerful lecture: https://t.co/pWSrREVwGH And, check your email to complete the Western Equity Census. https://t.co/HRSGB4kD8x"
"38","1035","Western Equity Census","61","Organization","Opiyo Oloya can picture a more inclusive #WesternU, and the Western Equity Census is the next step in building a Western we all deserve. https://t.co/qZS4pvCZXB"
"39","1037","Drug Mart","174","Organization","#WesternU #COVID19 vaccination &amp; testing centre will be closed Monday, Oct. 11 for Thanksgiving. For antigen testing, please book an appointment at one of the Shopper's Drug Mart locations. For PCR testing, please visit one of London's assessment centres. https://t.co/28ECWG5iod"
"40","1037","Monday","68","Date","#WesternU #COVID19 vaccination &amp; testing centre will be closed Monday, Oct. 11 for Thanksgiving. For antigen testing, please book an appointment at one of the Shopper's Drug Mart locations. For PCR testing, please visit one of London's assessment centres. https://t.co/28ECWG5iod"
"41","1037","Thanksgiving","88","Date","#WesternU #COVID19 vaccination &amp; testing centre will be closed Monday, Oct. 11 for Thanksgiving. For antigen testing, please book an appointment at one of the Shopper's Drug Mart locations. For PCR testing, please visit one of London's assessment centres. https://t.co/28ECWG5iod"
"42","1037","London","232","Location","#WesternU #COVID19 vaccination &amp; testing centre will be closed Monday, Oct. 11 for Thanksgiving. For antigen testing, please book an appointment at one of the Shopper's Drug Mart locations. For PCR testing, please visit one of London's assessment centres. https://t.co/28ECWG5iod"
"43","1038","Tuesday","112","Date","Get your study seat and a sneak peek at the ongoing revitalization. Weldon Library is (partially) reopening on Tuesday, Oct. 12, providing 500 extra study spaces at #WesternU! https://t.co/zBdGpF2aFj"
"44","1040","Ontario","67","Location","RT @ResearchCda : We have many outstanding Member universities in Ontario that work to improve the lives of those affected by breast cancer! Take some time this #BreastCancerAwarenessMonth to check out them out: @WesternU, @yorkuniversity, @Carleton_U, @queensu, @McMasterU, &amp; @RyersonU! #BCAM2021 https://t.co/rdVZibJZB6"
"45","1042","Last year","77","Date","RT @kellyziegner : Ready to kick-off the @WesternU @unitedwayemca Campaign! Last year they raised an incredible $635k+ for our region! https://t.co/WWblcOuFjk"
"46","1042","$","113","Money","RT @kellyziegner : Ready to kick-off the @WesternU @unitedwayemca Campaign! Last year they raised an incredible $635k+ for our region! https://t.co/WWblcOuFjk"
"47","1044","Trans","23","Organization","RT @SchulichMedDent : Trans Youth CAN! is a first-of-its-kind study exploring the medical, social and family contexts of trans youth seeking gender-affirming care in Canada. The baseline data, published today in Pediatrics, provides researchers with a starting point to study the impact of this care."
"48","1044","today","204","Date","RT @SchulichMedDent : Trans Youth CAN! is a first-of-its-kind study exploring the medical, social and family contexts of trans youth seeking gender-affirming care in Canada. The baseline data, published today in Pediatrics, provides researchers with a starting point to study the impact of this care."
"49","1044","Canada","167","Location","RT @SchulichMedDent : Trans Youth CAN! is a first-of-its-kind study exploring the medical, social and family contexts of trans youth seeking gender-affirming care in Canada. The baseline data, published today in Pediatrics, provides researchers with a starting point to study the impact of this care."
"50","1045","Moon","13","Location","Explore the Moon (played to perfection by Kamestastin Lake crater in Labrador) with astronauts @Astro_Kutryk @dominickmatthew as @westernuSpace's own @drcrater shares the story of their analog space mission with @CanGeo https://t.co/JYFuCXXajb"
"51","1046","Alice Munro Chair","75","Person","RT @westernuArts : The Faculty of A&amp;H is excited to announce that our Alice Munro Chair in Creativity, @ivancoyote, will continue with us until May 2023!  

https://t.co/686lV9OP2X

#westernuniversity #westernuarts #ldnont #creativity"
"52","1046","May 2023","149","Date","RT @westernuArts : The Faculty of A&amp;H is excited to announce that our Alice Munro Chair in Creativity, @ivancoyote, will continue with us until May 2023!  

https://t.co/686lV9OP2X

#westernuniversity #westernuarts #ldnont #creativity"
"53","1047","September 23","94","Date","@howisthismylif @Connolly9Jeff @Yukoner3 @MLHealthUnit Hi Heather, this tracker was added on September 23. We believe this is the same day as the article that you have shown above."
"54","105","Rick McGhie","183","Person","Today is Western Day, a celebration of all things #purpleandproud! 

?? Wear purple proudly today, wherever you are. 
?? Attend our virtual event with Survivor winner @erika_cas and Rick McGhie.  

Check out all the activities here:
https://t.co/yVI4nCWjIs"
"55","105","Today","1","Date","Today is Western Day, a celebration of all things #purpleandproud! 

?? Wear purple proudly today, wherever you are. 
?? Attend our virtual event with Survivor winner @erika_cas and Rick McGhie.  

Check out all the activities here:
https://t.co/yVI4nCWjIs"
"56","105","today","93","Date","Today is Western Day, a celebration of all things #purpleandproud! 

?? Wear purple proudly today, wherever you are. 
?? Attend our virtual event with Survivor winner @erika_cas and Rick McGhie.  

Check out all the activities here:
https://t.co/yVI4nCWjIs"
"57","1054","MLHU","192","Organization","@RT_Ohagan We value opportunities to minimize waste, however, we are prioritizing health and safety and updated our policy to three-layer non-medical masks (disposable) in alignment with the MLHU's recommendations."
