"","DivPosts$X","DivPosts$X.11","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","Sentiment","SentimentScore"
"1","University of Toronto","No matter when, no matter why. Find #UofT resources on all three campuses to help with your mental health &amp; wellbeing. ?? https://t.co/KPUhpaeq1w https://t.co/UC2g3KLPHi",0,0,0,0,1,0,0,1,0,1,"positive",1
"2","University of Toronto Student Life","RT @UofTStudentLife : Good morning, #UofT! Today’s #ExamReadyUofT booths are popping up at these locations — grab your FREE STUDY KIT:
??Student Commons @uoftsu, 11am-1pm
??Sidney Smith Commons, Sidney Smith Hall @UofTArtSci, 2-4pm
Details here: https://t.co/5EmBvWZlTC https://t.co/Ej9W83phrp",1,1,0,0,1,0,1,2,1,2,"positive",1
"3","University of Toronto","#UofT offers tuition &amp; mental health support to students affected by the war in Ukraine ???? https://t.co/2UHVJSexvX https://t.co/3DP13F3tkS",0,0,0,1,0,0,0,0,1,0,"negative",-1
"4","U of T Research","RT @researchuoft : How can we build a sustainable future? Hear from Avneet Ghotra, @UTM alum and co-founder @thealttex on how her company is transforming the fashion industry through engineered food waste. #WomensHistoryMonth #UofT https://t.co/xIMxceUZZO",0,0,1,0,1,0,0,1,1,2,"positive",1
"5","Liz Buller","RT @ebuller : Between #SAMIH, @SHNcares clinical services &amp; infrastructure planning, &amp; @SHNFoundation’s Love, Scarborough fundraising campaign there has never been a more exciting time for healthcare in #ScarbTO. I look forward to the opportunity &amp; innovation that lies ahead for our community. https://t.co/KccuxjSD8d",0,4,0,0,2,0,1,1,0,8,"positive",8
"6","Linda Johnston","RT @LindaJUoT : Very pleased to see the announcement re: #SAMIH and looking forward to working with colleagues @uoftmedicine and @UTSC to ensure equitable and accessible healthcare for the #Scarborough region. https://t.co/tn6HxfVXJa",0,1,0,0,1,0,0,0,0,4,"positive",4
"7","Jill Dunlop, MPP","RT @JillDunlop1 : Our government is supporting the expansion of medical seats at several postsecondary institutions across the province, including @UofT’s new Scarborough Academy of Medicine and Integrated Health.

https://t.co/PaXXfAo6d8 https://t.co/aimECyjDIK",0,1,0,2,0,0,0,2,1,4,"positive",3
"8","Scarborough Health Network (SHN)","RT @SHNcares : As a home to leading minds who give their very best to patients and families in Scarborough, we are honoured to support the training of Ontario's future medical talent, right here in Scarborough, in partnership with @UTSC. #CelebrateScarborough https://t.co/v6ofJtbPzR",0,1,0,1,0,0,0,3,0,3,"positive",3
"9","Ontario Colleges and Universities","RT @ONtrainandstudy : DYK: @ONgov is training more doctors @UofT @UTSC to meet the needs of a growing population in east Toronto.

This is part of @ONgov’s plan to train and retain more doctors across Ontario, especially in growing and underserved communities.

https://t.co/PS4RteW5fb https://t.co/XrqzcHF670",0,1,0,0,0,0,0,1,0,1,"positive",1
"10","Temerty Medicine","RT @uoftmedicine : SAMIH will also help recruit and prepare students for studies in professional health fields by expanding our outreach programs to pre-university learners and undergraduate students, announces #TemertyMed Acting Dean Patricia Houston. https://t.co/OYzR03rSsr",0,2,0,0,0,0,0,1,0,3,"positive",3
