"","DivPosts$X","DivPosts$X.11","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","Sentiment","SentimentScore"
"1","National Post","RT @nationalpost : Researchers at the @UWaterloo have developed a new form of magnetic resonance imaging that makes cancerous tissue easier to detect by causing it to glow in comparison to healthy tissue - via @healthing_ca

#healthing #canada  https://t.co/lwghCMNbls",0,1,0,0,1,0,0,1,0,3,"positive",3
"2","University of Waterloo","A new form of magnetic resonance imaging (MRI) developed by @UWaterloo #researchers makes cancerous tissue glow in medical images. This could help doctors more accurately detect and track the progression of #cancer over time.

Read more: https://t.co/UEVN1q6Nwo | #UWaterlooNews https://t.co/Ecy5z4oiUx",1,5,1,2,2,2,0,3,1,4,"positive",3
"3","University of Waterloo","All #UWaterloo campuses are open, however please use caution if travelling today. We will continue to monitor weather conditions throughout the day and provide updates as necessary via @UWaterloo and our Weather Statement page: https://t.co/DTw6igM13X | #ONStorm https://t.co/dNp9ZmgTFg",1,2,0,1,0,0,0,3,1,3,"positive",2
"4","University of Waterloo","Good luck to @envwaterloo student @MaddieSchizas at the World Figure Skating Championships March 23-25! Maddie discusses the lead-up to Worlds and lots more on the @uwdailybulletin podcast. 

More: https://t.co/bjqomidyrX #WorldFigure #FigureSkating #UWaterlooProud https://t.co/BxJtpdTXCC",0,2,0,0,2,0,2,1,0,4,"positive",4
"5","University of Waterloo","Be sure to exercise caution if travelling in 
@WaterlooRegion overnight and into the morning as adverse weather conditions have been forecasted. ??

For any updates on campus closures, our #UWaterloo weather statement page is updated by 6am each day: https://t.co/NZmwugjT1K https://t.co/OXRdDxsWMq",2,1,1,2,0,1,0,1,2,1,"negative",-1
"6","University of Waterloo","Professor Kelsey Leonard emphasizes the necessity of recognizing our natural water systems' right to exist and function in order to promote a healthy ecosystem while being preserved.

Learn more: https://t.co/6sIWsFoHVk #WaterConservation #WorldWaterDay2022 https://t.co/nBCdoska4u",0,0,0,0,0,1,0,1,0,3,"positive",3
"7","University of Waterloo","SPRING TERM UPDATE:
? We will suspend our mask and proof of vaccination requirements, effective May 1.
? We will maintain a requirement for all members of our community to continue to provide up to date information on their vaccination status.

More: https://t.co/em0rB1dcbP https://t.co/1Tm5CNNB5z",0,1,0,0,0,0,0,4,0,6,"positive",6
"8","@NII","RT @OntarioNII : ??It's officially Spring! 

Let's ease into that work-week with a piece on Fairy Lake - in Southampton, Ontario.

https://t.co/QpwGKiIaVz

@Bruce_Power | @SaugeenShoresON | @UWaterloo 

#EcologicalRestoration #Research #WaterQuality",0,0,0,0,0,0,0,0,0,1,"positive",1
"9","University of Waterloo","Join the #UWaterlooSummit to hear from expert panelists, @norahmcrae, Sanjeev Gill, Stephen Harrington and Esteban Veintimilla. Hear how leveraging new insights, partnerships and priorities can drive your #workforce-planning efforts forward.

Register now: https://t.co/ypM7rHTIgG https://t.co/2y8di81KLJ",0,1,0,0,0,0,0,2,0,4,"positive",4
"10","the Water Institute","RT @water_institute : You still have time to register for tomorrow’s #WorldWaterDay virtual events, including a Cross-Country Checkup on Canada’s #Groundwater, and The Legacy of #EnvironmentalRacism in North America, with special guests Ingrid Waldron &amp; Monica Lewis-Patrick. https://t.co/ZRL2FUCtFV https://t.co/samQGq6AtP",1,2,0,1,1,1,0,1,1,2,"positive",1
"11","Vivek Goel","RT @UWaterlooPres : Today is the International Day for the Elimination of Racial Discrimination. It is an opportunity to reflect on the actions we can take to advance anti-racism, equity and inclusion, not just today, but throughout the year. Read my latest blog post at https://t.co/RV6UbiD3KL",2,2,2,3,1,2,1,1,2,3,"positive",1
"12","University of Waterloo","Many Canadian #postsecondary institutions put #work-integrated #learning at the forefront of preparing #students to enter the #workforce. The benefits of #WIL, has increased the need for further understanding and #research.

?? https://t.co/LN6PqmvdVn | @HireWaterloo #UWaterloo https://t.co/gFTK41VmVd",0,0,0,0,0,0,0,1,0,2,"positive",2
"13","University of Waterloo","When #UWaterloo graduate Krenare Recaj found a photograph of herself as a young refugee in a museum's archival collection, her master's research path was set. 

Read Krenare Recaj's story: https://t.co/JrREfPlXY1 | @uwaterlooARTS https://t.co/A3FlbQZUMZ",0,1,0,0,2,1,1,1,0,2,"positive",2
"14","Vivek Goel","RT @UWaterlooPres : Over the next two days, many will come together to celebrate the ancient Hindu festival of Holi. Known as the “Festival of Colours,” it provides an opportunity to shift gears, and shed past burdens. May you find some colour and joy in your day. https://t.co/HRZ6YUooH3",0,2,0,0,2,0,1,0,2,3,"positive",1
"15","University of Waterloo","On the @uwdailybulletin podcast, @robdanisch of @uwaterlooARTS discusses misinformation, disinformation and their negative effect on our relationships and threat to our way of life. 

More: https://t.co/hfTosmMEp3 | #BeyondtheBulletinPodcast https://t.co/Fp8HO4HaoM",2,0,0,2,0,1,0,0,3,0,"negative",-3
"16","University of Waterloo","#UWaterloo co-op students are consistently empowered to lead clinical trials, write research reports and interact with patients at the Odette Cancer Centre, which is a part of the Sunnybrook Health Sciences Centre in Toronto.

?? https://t.co/5MqIOgNDwg | #UWaterlooMagazine https://t.co/wO8uNF9Qh1",1,0,1,1,0,1,0,0,1,1,"neutral",0
"17","UWaterloo Life","RT @UWaterlooLife : If you celebrate St. Patty's remember:
??Eat &amp; drink with ur friends on campus or at a local pub or restaurant
??Watch out for ur friends, peers &amp; yourself. Keep each other safe
??You need consent to get lucky this St. Patrick’s Day

Support: https://t.co/jAZKxvVgPs
@UWaterloo https://t.co/P2BVEvtYej",0,1,0,1,2,0,1,1,0,3,"positive",3
"18","University of Waterloo","Suzanne Kearns, professor in @envwaterloo and the director of @WISA_UW, believes that aeronautics is a force for good. As director of #WISA, Kearns will foster research, partnerships and experiential learning to create a viable future for air transport.

??https://t.co/SHMLgt3FEp https://t.co/kOAdgqWHu8",1,1,0,1,2,0,1,3,1,5,"positive",4
"19","City of Waterloo Economic Development","RT @CityWatEcDev : Join @UWaterloo on April 14th for the Waterloo Innovation Summit! Listen to global thought leaders and innovators as we lead a discussion on bold new ways of thinking about policy, investment, and talent.

Get registered here -&gt;
https://t.co/TUMdcsXQXz",0,1,0,0,0,0,0,1,0,6,"positive",6
"20","UWaterloo Health","RT @uwaterloohealth : Through @stp_greenhouse, recent @UWaterlooSPHS Health Studies alumni Charlotte Ogalesco and Lindsay Krahn were part of an interdisciplinary team that created an online resource hub called Transition Space for youth to navigate the adult disability system: https://t.co/KGUNyHR1dA https://t.co/1OIE69WAce",1,1,0,1,1,1,1,2,1,1,"neutral",0
