,DivPosts$X,DivPosts$X.11,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,Sentiment,SentimentScore
1,Western University,#WesternU students take on the challenge to solve some of the world's most pressing issues at the annual World's Challenge Challenge competition. Final competition is March 24. Here's a look at the top 10 finalists. @westernuIntl #WorldsChallengeChallenge https://t.co/WKyIFT5bK5,1,2,0,1,0,0,0,1,2,2,neutral,0
2,WeRPN,"RT @we_rpn : In response to the #nursing shortage in #Ontario, @WesternU is offering a program to help #nurses fast track their qualifications to become #RNs. The program will provide the opportunity to #RPNs who have some Univ. experience to receive a BSc in nursing. https://t.co/UCwP2NOXRG https://t.co/vcjvRdEtKb",1,2,0,1,0,1,0,2,1,2,positive,1
3,Social Sci @WesternU,"RT @westernuSocSci : “If the land isn’t doing well, then we as a people aren’t doing well, and our youth aren’t doing well,” said Hillary McGregor, an Anishnaabe youth from Whitefish River First Nation, part of the Climate Crisis &amp; Multi-Generational Resilience Wisdom Council. https://t.co/WexfrRj1Vt https://t.co/wqIqCJQyKY",1,2,0,1,1,0,1,3,1,4,positive,3
4,Western Libraries,"RT @westernulibs : Isn't it a-Mezz-ing? ??

Pop by Weldon to test out the new study spots on the mezzanine. Apart from a few finishing touches, the Weldon Learning Commons is nearly complete. ??

Learn more, #WesternU ??
https://t.co/Cfc6hOlu5z https://t.co/Q0FvitxNvi",0,0,0,0,0,0,1,0,1,3,positive,2
5,Western University,"The #WesternU community mourns the passing of philanthropist Sonia Labatt, and indefatigable supporter of the university, of #nursing education and #healthsciences. #philanthropy @westernuFHS https://t.co/sNyzPs5jei",0,1,0,0,1,0,0,2,0,5,positive,5
6,Ivey Business School,"RT @iveybusiness : We are pleased to share our new strategic plan, which builds on our nearly 100-year legacy of real-world leadership. The new strategy aims to inspire leaders for a sustainable and prosperous world and address critical issues facing business and society.  
https://t.co/5dXQsplHog",0,3,0,0,4,0,0,3,0,6,positive,6
7,Western University,"“I stay in London because I planted my roots here. Our way was paved for us, and it’s our role to pave the way for those who are coming after us.” - @ChristinaLord1 

Keep learning after #BlackHistoryMonth with #WesternU:
https://t.co/9bEIXfoXiG",0,1,0,0,0,0,0,0,0,1,positive,1
8,Student Experience,"RT @westernuSE : Calling all @WesternU, @BresciaUC, @huronatwestern &amp; @KingsAtWestern students with disabilities! We're pleased to launch the Disability Community Discord server, where students with self-identified or diagnosed disabilities can connect and build community. https://t.co/dQK9c7Y9ut https://t.co/fmUas8bEFg",1,1,1,0,1,1,0,0,2,4,positive,2
9,Dr. Jamie Seabrook,RT @Jamie_Seabrook1 : Dr. Peggy O'Neil from @BresciaUC giving the keynote presentation at the Building Sustainable Food Systems Symposium @FanshaweCollege @WesternU @OCInnovation @LondonEDC https://t.co/iGNBDZjYuK,0,0,0,0,1,0,0,1,0,4,positive,4
10,Western University,"A new, one-of-a-kind #WesternU multi-disciplinary specialization for graduate students will help them use machine learning and #AI to solve complex problems in health care and medicine. @SchulichMedDent @westernuScience @westernuEng #cdnpse #onpse https://t.co/dKeKBf4V9L",0,0,0,0,1,0,0,2,0,2,positive,2
11,Western University,"""You have to start somewhere, and sometimes starting small is easier."" #WesternU prof and #videogame labour expert @jweststar spoke to The Hollywood Reporter about @VodeoGames and @RavenSoftware recognizing worker groups and unions, rare for the industry. https://t.co/vUmEGURbp9",0,1,0,0,0,0,0,2,2,2,neutral,0
12,Western Continuing Studies,RT @westernuCS : #KeepLearning this spring?? Here are our top 5 course recommendations.   https://t.co/yQ8Co9gaWa #WesternU https://t.co/1uNSPOrbrT,0,1,0,0,0,0,0,1,0,1,positive,1
13,Western Libraries,"RT @westernulibs : It's officially spring and two things remain here at #WesternU: 

1. Masks are still required. ??
2. Wordle is still very much a thing. ??

You can pick up your medical-grade ASTM Level 3 masks at any of our five libraries with your Western ONECard. https://t.co/vBxV1zey6p",0,1,0,1,0,0,0,2,0,3,positive,3
14,Western University,"March 21 is known around the world as the International Day for Elimination of Racial Discrimination.  

#WesternU stands with our community to address and dismantle racism.  
@westernuSE @westernuIntl #FightRacism https://t.co/xgRqV9bX3p",2,0,2,2,0,2,0,0,2,2,neutral,0
15,Western University,"Today marks the celebration of Nowruz [now-rooz]  (also called Navroz) for many communities around the world. It is described as Persian New Year. 

#WesternU wishes those celebrating Nowruz Mubarak! https://t.co/ahB1LFl8az",0,2,0,0,2,0,1,1,0,2,positive,2
16,Western University,"Could electrodialysis work as a nuclear decontamination method? Check out the research by MSc candidate Baian Almusned! 

The Inspiring Minds campaign showcases graduate research from #WesternU.
#GradLifeWesternU @westernuScience @VPRWesternU",0,0,0,0,0,0,0,0,0,1,positive,1
17,Western University,#WesternU Professor Emeritus Gordon McBean joined @CBCOntMorning to discuss the potential impacts the Russian invasion of Ukraine could have on climate change. https://t.co/7z7ul5TxFX,1,0,0,1,0,0,0,1,1,3,positive,2
18,Western University,"Today marks the celebration of #Holi.  

Though Holi is celebrated throughout the world today, the origins of this significant day come from the Indian subcontinent.

Holi Hai #WesternU! https://t.co/pD6XRCqcdD",0,2,0,0,2,0,1,1,0,2,positive,2
19,Western University,Thanks #WesternU for taking care! https://t.co/Yu796u7rsT,0,0,0,0,0,0,0,0,0,0,neutral,0
20,Western University,.@BresciaUC prof and home economist Peggy O'Neil shares her thoughts on food system #sustainability and cultivating food security from the ground up. She will keynote a symposium on food systems sustainability on March 22. #WesternU #ldnont #foodsecurity https://t.co/nLKa5oXAux,0,0,0,0,1,0,0,3,0,3,positive,3
21,Western University,"They represent some of the best in world-changing research, teaching and leadership. Now #WesternU pathologist Subrata Chakrabarti, astrophysicist @PBarmby and geographer Isaac Luginaah, can add 'Distinguished University Professor' to their titles. https://t.co/BEG0wzrIKw",0,1,0,0,0,1,0,0,1,1,neutral,0
22,Ivey Business School,RT @iveybusiness : Ivey's Gerard Seijts joined @CBCOntarioToday to discuss Volodymyr Zelenskyy's leadership and leader character following Zelenskyy's speech to Canadian Parliament. @iveyleadership Listen here (begins at 8:13):,0,0,0,0,0,0,0,2,0,3,positive,3
23,Ontario Centre of Innovation (OCI),"RT @OCInnovation : Excited to join an incredible panel of experts next week to explore the innovation, ideas and technologies that contribute to food system sustainability! ?? 

Register here: https://t.co/zxVIfzhhXG

With presenting partners: @LondonEDC | @WesternU | @FanshaweCollege | @BresciaUC https://t.co/7s1d5ERHf3",0,2,0,0,2,0,1,3,0,5,positive,5
24,Western University,"Hey #WesternU! If you’re celebrating St. Patrick’s Day today, please consume responsibly. Take care of yourself, each other and your #LdnOnt community. https://t.co/YxKr6V3pDz",0,1,0,0,1,0,0,0,0,2,positive,2
25,Western University,Physicist-turned-neuroscientist Andrea Soddu has developed unique brain-imaging software that is helping a #ldnont law firm strengthen the case for better support for clients with #concussions. #WesternU #acquiredbraininjury @BMI_WesternU @SiskindsLLP https://t.co/qU09bFsgBm,0,0,0,1,0,1,1,2,1,2,positive,1
26,Western University,"Thinking about ""what's next?"" as you approach the end of your #WesternU undergraduate studies? 

Join @westernuCS virtual information session on Tuesday, March 22 to learn more about Marketing, PR, and Not-for-Profit Management Post-Degree Diploma programs. 
Register here:",0,0,0,0,0,0,0,1,0,6,positive,6
27,Western University,"If you’re going green tomorrow, take care of yourself, each other and your #LdnOnt community. ??

Be safe by sticking with your friends and consuming responsibly.
#WesternU https://t.co/Ij79fR40gC",0,1,0,0,2,0,0,2,0,3,positive,3
28,Western University,"Celebrating the 30th anniversary of #WesternU Peer Guide program, a powerful mentorship and peer support initiative that has helped thousands of international students thrive as they adjust to university life. @westernuIntl #community https://t.co/nSBg29NrjZ",1,3,1,1,2,0,0,2,0,5,positive,5
29,Western University,"#WesternU grad Charity Kabango, co-founder and director of @es_partners shares her journey from engineer to 'entrepreneur serving entrepreneurs' in Africa. @westernuEng @huronatwestern @ckabango #Rwanda https://t.co/sIfcvTA6vW",0,1,0,1,2,0,0,1,0,3,positive,3
30,Western University,"#DYK that songbirds' fear of predators can reduce their reproductive rate and the survival rate of their offspring? #WesternU prof Liana Zanette joined @CBCQuirks to discuss her research. @westernuScience 
https://t.co/gh6xI64Vci",1,0,0,1,1,0,0,0,1,2,positive,1
31,Western Alumni,"RT @westernuAlumni : Have you got your copy of Long Bright River by @lizmoorebooks yet?  

The first session of the new Alumni Book Club runs March 18 - May 20. More than 700 #WesternU grads have already signed up to share their thoughts via the private forum, hosted by PBC Guru.",0,2,0,0,1,0,0,2,1,3,positive,2
32,Western University,"Planning your St. Patrick’s Day?

Have fun and be sure to take care of yourself, your friends and your #WesternU and #LdnOnt community. 

We are all responsible for working together to create a safer community. https://t.co/7qegl26zgb",0,2,0,0,2,0,0,2,0,6,positive,6
33,Morrissette Entrepreneurship,"RT @MorrissetteEntr : Still on the fence if our Entrepreneurial Summer Internship (ESI) is for you? 

?OUR PROGRAM PERKS ?
Mentorship, In-House Support, Co-Working Space, Weekly Programming &amp; Funding ($10,000 over the summer). 

So what are you waiting for?! Apply today at: https://t.co/FnvDGgxli0",0,0,0,0,0,0,0,0,0,1,positive,1
34,FacilitiesManagement,RT @westernuFM : Project milestone?? Come check out Weldon Library's mezzanine. The newly renovated floor features multimedia breakout rooms and collaborative study space. #WeldonRenovation #StudentSpace @WesternU https://t.co/5hE1tnA7Qr,0,0,0,0,0,0,0,0,0,1,positive,1
