,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
University of Toronto,University of Toronto,,,,,,,,,,3,,2022-03-23T16:01:00.000Z,Wed Mar 23 16:01:00 +0000 2022,1,"No matter when, no matter why. Find #UofT resources on all three campuses to help with your mental health &amp; wellbeing. ?? https://t.co/KPUhpaeq1w https://t.co/UC2g3KLPHi",2,en,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",Tweet,http://uoft.me/mth ,1,0,video,https://video.twimg.com/amplify_video/1424810917787807751/pl/AhZIXrxuJGbRhj6Z.m3u8?tag=14,
University of Toronto Student Life,University of Toronto,,,,,,,,,,4,,2022-03-23T15:01:01.000Z,Wed Mar 23 15:01:01 +0000 2022,0,"RT @UofTStudentLife : Good morning, #UofT! Today’s #ExamReadyUofT booths are popping up at these locations — grab your FREE STUDY KIT:
??Student Commons @uoftsu, 11am-1pm
??Sidney Smith Commons, Sidney Smith Hall @UofTArtSci, 2-4pm
Details here: https://t.co/5EmBvWZlTC https://t.co/Ej9W83phrp",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,http://uoft.me/exam-ready ,2,2,photo,https://pbs.twimg.com/media/FOiWPyFXwAAHG2D.jpg,https://pbs.twimg.com/media/FN6nfouWQAUEVX5.jpg
University of Toronto,University of Toronto,,,,,,,,,,5,,2022-03-23T14:01:17.000Z,Wed Mar 23 14:01:17 +0000 2022,35,#UofT offers tuition &amp; mental health support to students affected by the war in Ukraine ???? https://t.co/2UHVJSexvX https://t.co/3DP13F3tkS,17,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://uoft.me/7Il ,1,0,photo,https://pbs.twimg.com/media/FOih-w_XoAMq7S7.jpg,https://pbs.twimg.com/media/FN-e7mRWQAA6QVH.jpg
U of T Research,University of Toronto,,,,,,,,,,6,,2022-03-23T13:16:58.000Z,Wed Mar 23 13:16:58 +0000 2022,0,"RT @researchuoft : How can we build a sustainable future? Hear from Avneet Ghotra, @UTM alum and co-founder @thealttex on how her company is transforming the fashion industry through engineered food waste. #WomensHistoryMonth #UofT https://t.co/xIMxceUZZO",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,,2,2,video,https://video.twimg.com/amplify_video/1505952136177278977/vid/480x270/GMezmrVFbV-yQpc1.mp4?tag=14,https://pbs.twimg.com/media/FN6gOjkWYAohHVO.jpg
Liz Buller,University of Toronto,,,,,,,,,,7,,2022-03-22T20:20:36.000Z,Tue Mar 22 20:20:36 +0000 2022,0,"RT @ebuller : Between #SAMIH, @SHNcares clinical services &amp; infrastructure planning, &amp; @SHNFoundation’s Love, Scarborough fundraising campaign there has never been a more exciting time for healthcare in #ScarbTO. I look forward to the opportunity &amp; innovation that lies ahead for our community. https://t.co/KccuxjSD8d",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://twitter.com/utsc/status/1506330971599159302 ,2,2,,,https://pbs.twimg.com/media/FN5sePkWUAErh12.jpg
Linda Johnston,University of Toronto,,,,,,,,,,8,,2022-03-22T20:18:24.000Z,Tue Mar 22 20:18:24 +0000 2022,0,RT @LindaJUoT : Very pleased to see the announcement re: #SAMIH and looking forward to working with colleagues @uoftmedicine and @UTSC to ensure equitable and accessible healthcare for the #Scarborough region. https://t.co/tn6HxfVXJa,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://twitter.com/UofTNursing/status/1506335075276894209 ,2,2,,,
"Jill Dunlop, MPP",University of Toronto,,,,,,,,,,9,,2022-03-22T20:18:08.000Z,Tue Mar 22 20:18:08 +0000 2022,0,"RT @JillDunlop1 : Our government is supporting the expansion of medical seats at several postsecondary institutions across the province, including @UofT’s new Scarborough Academy of Medicine and Integrated Health.

https://t.co/PaXXfAo6d8 https://t.co/aimECyjDIK",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,https://news.ontario.ca/en/release/1001823/ontario-training-more-doctors-in-scarborough-as-it-builds-a-more-resilient-health-care-system ,0,1,photo,https://pbs.twimg.com/media/FOenIbxWUAIVm6C.jpg,https://pbs.twimg.com/media/FN5Sdg6WYAAqg4O.jpg
Scarborough Health Network (SHN),University of Toronto,,,,,,,,,,10,,2022-03-22T20:01:01.000Z,Tue Mar 22 20:01:01 +0000 2022,0,"RT @SHNcares : As a home to leading minds who give their very best to patients and families in Scarborough, we are honoured to support the training of Ontario's future medical talent, right here in Scarborough, in partnership with @UTSC. #CelebrateScarborough https://t.co/v6ofJtbPzR",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,https://twitter.com/UTSC/status/1506330971599159302 ,1,1,,,
Ontario Colleges and Universities,University of Toronto,,,,,,,,,,11,,2022-03-22T19:30:03.000Z,Tue Mar 22 19:30:03 +0000 2022,0,"RT @ONtrainandstudy : DYK: @ONgov is training more doctors @UofT @UTSC to meet the needs of a growing population in east Toronto.

This is part of @ONgov’s plan to train and retain more doctors across Ontario, especially in growing and underserved communities.

https://t.co/PS4RteW5fb https://t.co/XrqzcHF670",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,https://bit.ly/3wsyYYZ ,0,4,photo,https://pbs.twimg.com/media/FOeRrMeXEAIRVgM.jpg,
Temerty Medicine,University of Toronto,,,,,,,,,,12,,2022-03-22T19:01:00.000Z,Tue Mar 22 19:01:00 +0000 2022,0,"RT @uoftmedicine : SAMIH will also help recruit and prepare students for studies in professional health fields by expanding our outreach programs to pre-university learners and undergraduate students, announces #TemertyMed Acting Dean Patricia Houston. https://t.co/OYzR03rSsr",0,en,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FOeOHBjXsAkd5Nf.jpg,https://pbs.twimg.com/media/FNvPhprVEAAgi4z.jpg
