,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
National Post,University of Waterloo,,,,,,,,,,3,,2022-03-23T15:57:27.000Z,Wed Mar 23 15:57:27 +0000 2022,0,"RT @nationalpost : Researchers at the @UWaterloo have developed a new form of magnetic resonance imaging that makes cancerous tissue easier to detect by causing it to glow in comparison to healthy tissue - via @healthing_ca

#healthing #canada  https://t.co/lwghCMNbls",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.healthing.ca/diseases-and-conditions/cancer/prostate-cancer/canadian-researchers-mri-cancer-detect/?utm_source=Twitter&utm_medium=postmedia_organic&utm_campaign=healthing_promo#Echobox=1648045079-13 ,2,2,,,
University of Waterloo,University of Waterloo,,,,,,,,,,4,,2022-03-23T13:37:42.000Z,Wed Mar 23 13:37:42 +0000 2022,25,"A new form of magnetic resonance imaging (MRI) developed by @UWaterloo #researchers makes cancerous tissue glow in medical images. This could help doctors more accurately detect and track the progression of #cancer over time.

Read more: https://t.co/UEVN1q6Nwo | #UWaterlooNews https://t.co/Ecy5z4oiUx",5,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/3N7o80B ,3,1,photo,https://pbs.twimg.com/media/FOibZZVXIAMHEqm.jpg,https://pbs.twimg.com/media/FN6nfouWQAUEVX5.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,5,,2022-03-23T10:32:31.000Z,Wed Mar 23 10:32:31 +0000 2022,14,"All #UWaterloo campuses are open, however please use caution if travelling today. We will continue to monitor weather conditions throughout the day and provide updates as necessary via @UWaterloo and our Weather Statement page: https://t.co/DTw6igM13X | #ONStorm https://t.co/dNp9ZmgTFg",11,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,http://bit.ly/3gix5oo ,2,1,photo,https://pbs.twimg.com/media/FOhyMm3XIAIRhz1.jpg,https://pbs.twimg.com/media/FN-e7mRWQAA6QVH.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,6,,2022-03-23T08:00:03.000Z,Wed Mar 23 08:00:03 +0000 2022,12,"Good luck to @envwaterloo student @MaddieSchizas at the World Figure Skating Championships March 23-25! Maddie discusses the lead-up to Worlds and lots more on the @uwdailybulletin podcast. 

More: https://t.co/bjqomidyrX #WorldFigure #FigureSkating #UWaterlooProud https://t.co/BxJtpdTXCC",4,en,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",Tweet,https://bit.ly/352ue0R ,3,3,photo,https://pbs.twimg.com/media/FOhPTBaVsAA0_Nk.jpg,https://pbs.twimg.com/media/FN6gOjkWYAohHVO.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,7,,2022-03-22T20:06:39.000Z,Tue Mar 22 20:06:39 +0000 2022,4,"Be sure to exercise caution if travelling in 
@WaterlooRegion overnight and into the morning as adverse weather conditions have been forecasted. ??

For any updates on campus closures, our #UWaterloo weather statement page is updated by 6am each day: https://t.co/NZmwugjT1K https://t.co/OXRdDxsWMq",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,http://bit.ly/2vsXPhS https://twitter.com/CityNewsKIT/status/1506327297657344011 ,1,1,,,https://pbs.twimg.com/media/FN5sePkWUAErh12.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,8,,2022-03-22T17:30:02.000Z,Tue Mar 22 17:30:02 +0000 2022,6,"Professor Kelsey Leonard emphasizes the necessity of recognizing our natural water systems' right to exist and function in order to promote a healthy ecosystem while being preserved.

Learn more: https://t.co/6sIWsFoHVk #WaterConservation #WorldWaterDay2022 https://t.co/nBCdoska4u",2,en,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",Tweet,https://bit.ly/3trASaq ,2,0,photo,https://pbs.twimg.com/media/FOeIKvYUYAEhePj.jpg,
University of Waterloo,University of Waterloo,,,,,,,,,,9,,2022-03-22T15:44:18.000Z,Tue Mar 22 15:44:18 +0000 2022,43,"SPRING TERM UPDATE:
? We will suspend our mask and proof of vaccination requirements, effective May 1.
? We will maintain a requirement for all members of our community to continue to provide up to date information on their vaccination status.

More: https://t.co/em0rB1dcbP https://t.co/1Tm5CNNB5z",24,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/3JwqLa3 ,0,0,photo,https://pbs.twimg.com/media/FOdvl1YXsAQ4W4H.jpg,https://pbs.twimg.com/media/FN5Sdg6WYAAqg4O.jpg
@NII,University of Waterloo,,,,,,,,,,10,,2022-03-22T15:14:35.000Z,Tue Mar 22 15:14:35 +0000 2022,0,"RT @OntarioNII : ??It's officially Spring! 

Let's ease into that work-week with a piece on Fairy Lake - in Southampton, Ontario.

https://t.co/QpwGKiIaVz

@Bruce_Power | @SaugeenShoresON | @UWaterloo 

#EcologicalRestoration #Research #WaterQuality",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://bit.ly/Springtime-2022-Fairy-Lake ,3,3,,,
University of Waterloo,University of Waterloo,,,,,,,,,,11,,2022-03-22T14:19:04.000Z,Tue Mar 22 14:19:04 +0000 2022,8,"Join the #UWaterlooSummit to hear from expert panelists, @norahmcrae, Sanjeev Gill, Stephen Harrington and Esteban Veintimilla. Hear how leveraging new insights, partnerships and priorities can drive your #workforce-planning efforts forward.

Register now: https://t.co/ypM7rHTIgG https://t.co/2y8di81KLJ",4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/3fd307A ,2,1,photo,https://pbs.twimg.com/media/FOdb0knXwAEmQ2B.jpg,
the Water Institute,University of Waterloo,,,,,,,,,,12,,2022-03-21T23:02:39.000Z,Mon Mar 21 23:02:39 +0000 2022,0,"RT @water_institute : You still have time to register for tomorrow’s #WorldWaterDay virtual events, including a Cross-Country Checkup on Canada’s #Groundwater, and The Legacy of #EnvironmentalRacism in North America, with special guests Ingrid Waldron &amp; Monica Lewis-Patrick. https://t.co/ZRL2FUCtFV https://t.co/samQGq6AtP",0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://bit.ly/3MXqzCB ,3,0,video,https://video.twimg.com/ext_tw_video/1506004781642493961/pu/vid/320x320/BazvAFU5YJCAk07e.mp4?tag=12,https://pbs.twimg.com/media/FNvPhprVEAAgi4z.jpg
Vivek Goel,University of Waterloo,,,,,,,,,,13,,2022-03-21T12:00:25.000Z,Mon Mar 21 12:00:25 +0000 2022,0,"RT @UWaterlooPres : Today is the International Day for the Elimination of Racial Discrimination. It is an opportunity to reflect on the actions we can take to advance anti-racism, equity and inclusion, not just today, but throughout the year. Read my latest blog post at https://t.co/RV6UbiD3KL",0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://uwaterloo.ca/news/university-president/international-day-elimination-racial-discrimination ,0,0,,,
University of Waterloo,University of Waterloo,,,,,,,,,,14,,2022-03-20T14:00:02.000Z,Sun Mar 20 14:00:02 +0000 2022,6,"Many Canadian #postsecondary institutions put #work-integrated #learning at the forefront of preparing #students to enter the #workforce. The benefits of #WIL, has increased the need for further understanding and #research.

?? https://t.co/LN6PqmvdVn | @HireWaterloo #UWaterloo https://t.co/gFTK41VmVd",0,en,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",Tweet,https://bit.ly/3ti9wmR ,8,1,photo,https://pbs.twimg.com/media/FOTE65-VEAEAtox.jpg,https://pbs.twimg.com/media/FN0PeyAXMAIxq2D.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,15,,2022-03-19T14:00:53.000Z,Sat Mar 19 14:00:53 +0000 2022,8,"When #UWaterloo graduate Krenare Recaj found a photograph of herself as a young refugee in a museum's archival collection, her master's research path was set. 

Read Krenare Recaj's story: https://t.co/JrREfPlXY1 | @uwaterlooARTS https://t.co/A3FlbQZUMZ",1,en,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",Tweet,https://bit.ly/364Opvy ,1,1,photo,https://pbs.twimg.com/media/FON7hTGUYAI0SEU.jpg,https://pbs.twimg.com/media/FNvPhprVEAAgi4z.jpg
Vivek Goel,University of Waterloo,,,,,,,,,,16,,2022-03-18T19:55:58.000Z,Fri Mar 18 19:55:58 +0000 2022,0,"RT @UWaterlooPres : Over the next two days, many will come together to celebrate the ancient Hindu festival of Holi. Known as the “Festival of Colours,” it provides an opportunity to shift gears, and shed past burdens. May you find some colour and joy in your day. https://t.co/HRZ6YUooH3",0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/FOJorj0UYAA-5Ps.jpg,https://pbs.twimg.com/media/FNp_Ed1UcAUrmls.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,17,,2022-03-18T17:30:13.000Z,Fri Mar 18 17:30:13 +0000 2022,7,"On the @uwdailybulletin podcast, @robdanisch of @uwaterlooARTS discusses misinformation, disinformation and their negative effect on our relationships and threat to our way of life. 

More: https://t.co/hfTosmMEp3 | #BeyondtheBulletinPodcast https://t.co/Fp8HO4HaoM",3,en,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",Tweet,https://bit.ly/3MZ1wzc ,1,3,photo,https://pbs.twimg.com/media/FOJh2UMUYAIxhcS.jpg,https://pbs.twimg.com/media/FNmBA8IUUAIuGJq.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,18,,2022-03-18T14:01:46.000Z,Fri Mar 18 14:01:46 +0000 2022,7,"#UWaterloo co-op students are consistently empowered to lead clinical trials, write research reports and interact with patients at the Odette Cancer Centre, which is a part of the Sunnybrook Health Sciences Centre in Toronto.

?? https://t.co/5MqIOgNDwg | #UWaterlooMagazine https://t.co/wO8uNF9Qh1",5,en,"<a href=""http://www.socialbakers.com/"" rel=""nofollow"">Emplifi</a>",Tweet,https://bit.ly/3Dq8I1T ,2,0,photo,https://pbs.twimg.com/media/FOIyIojVUAAvN2p.jpg,https://pbs.twimg.com/media/FNlXjKiXwAk0UQX.jpg
UWaterloo Life,University of Waterloo,,,,,,,,,,19,,2022-03-17T16:39:34.000Z,Thu Mar 17 16:39:34 +0000 2022,0,"RT @UWaterlooLife : If you celebrate St. Patty's remember:
??Eat &amp; drink with ur friends on campus or at a local pub or restaurant
??Watch out for ur friends, peers &amp; yourself. Keep each other safe
??You need consent to get lucky this St. Patrick’s Day

Support: https://t.co/jAZKxvVgPs
@UWaterloo https://t.co/P2BVEvtYej",0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://bit.ly/3sCDvnq ,0,1,photo,https://pbs.twimg.com/media/FOD0XrZVkAU3VsM.jpg,https://pbs.twimg.com/media/FNktAV2XoAgFI_y.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,20,,2022-03-17T16:00:19.000Z,Thu Mar 17 16:00:19 +0000 2022,8,"Suzanne Kearns, professor in @envwaterloo and the director of @WISA_UW, believes that aeronautics is a force for good. As director of #WISA, Kearns will foster research, partnerships and experiential learning to create a viable future for air transport.

??https://t.co/SHMLgt3FEp https://t.co/kOAdgqWHu8",1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/WISA-Kearns ,1,2,photo,https://pbs.twimg.com/media/FOEDRZ-UYA4m7Ue.jpg,
City of Waterloo Economic Development,University of Waterloo,,,,,,,,,,21,,2022-03-16T20:13:41.000Z,Wed Mar 16 20:13:41 +0000 2022,0,"RT @CityWatEcDev : Join @UWaterloo on April 14th for the Waterloo Innovation Summit! Listen to global thought leaders and innovators as we lead a discussion on bold new ways of thinking about policy, investment, and talent.

Get registered here -&gt;
https://t.co/TUMdcsXQXz",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://hopin.com/events/waterloo-innovation-summit-talent?utm_content=201115168&utm_medium=social&utm_source=twitter&hss_channel=tw-111082742 ,0,1,,,https://pbs.twimg.com/media/FNhG0UgXEAI0e3w.jpg
UWaterloo Health,University of Waterloo,,,,,,,,,,22,,2022-03-16T16:57:02.000Z,Wed Mar 16 16:57:02 +0000 2022,0,"RT @uwaterloohealth : Through @stp_greenhouse, recent @UWaterlooSPHS Health Studies alumni Charlotte Ogalesco and Lindsay Krahn were part of an interdisciplinary team that created an online resource hub called Transition Space for youth to navigate the adult disability system: https://t.co/KGUNyHR1dA https://t.co/1OIE69WAce",0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://uwaterloo.ca/news/global-impact/helping-kidsability-clients-transition-adulthood ,0,2,photo,https://pbs.twimg.com/media/FN6nfouWQAUEVX5.jpg,
University of Waterloo,University of Waterloo,,,,,,,,,,23,,2022-03-16T14:03:43.000Z,Wed Mar 16 14:03:43 +0000 2022,9,"Manh-Kien Tran, a Chemical Engineering PhD student is building a smart cloud-based battery management system with a focus on lithium-ion batteries.

Read his story: https://t.co/a1TXczKXwl | #UWaterloo #UWaterlooEng https://t.co/Kz7yJKvdC5",1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/34N0J39 ,2,0,photo,https://pbs.twimg.com/media/FN-e7mRWQAA6QVH.jpg,https://pbs.twimg.com/media/FNfsAHiVIAE_npd.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,24,,2022-03-15T19:32:01.000Z,Tue Mar 15 19:32:01 +0000 2022,40,"There have been 943 Nobel Prize winners in the last century. Only 58 of them are women. Last Tuesday, Canadian Nobel Laureate, Donna Strickland was featured in the @nytimes crossword.

Read more about her and the 57 women who have also won the Nobel Prize: https://t.co/TQTn09TduG https://t.co/1uBEZ2sf4L",7,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://nyti.ms/3iscfEp ,0,1,photo,https://pbs.twimg.com/media/FN6gOjkWYAohHVO.jpg,https://pbs.twimg.com/media/FNfzFTeVkAU4Tzm.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,25,,2022-03-15T17:28:36.000Z,Tue Mar 15 17:28:36 +0000 2022,45,".@UWaterloo is pleased to announce that our 2022 Spring Convocation ceremonies will take place in person. We're also excited to share that the Convocation Celebrations for the classes of 2020 and 2021 will take place in person.

More: https://t.co/Pmyd8PTr2g | #UWaterlooGrad ???? https://t.co/GKV2kOmeks",11,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/2Z1DAGF ,1,1,photo,https://pbs.twimg.com/media/FN5sePkWUAErh12.jpg,https://pbs.twimg.com/media/FNb7pIkUYAQ6TYa.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,26,,2022-03-15T16:20:06.000Z,Tue Mar 15 16:20:06 +0000 2022,22,@Laurier #UWaterloo sends its deepest condolences to Stephen’s friends and family and to the Laurier community.,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,1,1,,,
University of Waterloo,University of Waterloo,,,,,,,,,,27,,2022-03-15T13:50:32.000Z,Tue Mar 15 13:50:32 +0000 2022,14,".@FredSwaniker joins the #UWaterlooSummit on April 14 as keynote speaker followed by a fireside chat with @DrJoannaNewman. Together, they will discuss what it takes to catalyze a new generation of ethical, #entrepreneurial leaders. 

Register here: https://t.co/ypM7rHUg6e https://t.co/QQjUz3O2Zx",4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://bit.ly/3fd307A ,2,2,photo,https://pbs.twimg.com/media/FN5Sdg6WYAAqg4O.jpg,
University of Waterloo,University of Waterloo,,,,,,,,,,28,,2022-03-14T18:46:10.000Z,Mon Mar 14 18:46:10 +0000 2022,29,".@onlinekyne explains what #Pi is on @YourMorning! 
@WaterlooMath #PiDay https://t.co/7XxRmkx8LN",6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/YourMorning/status/1503392591206830083 ,2,3,,,https://pbs.twimg.com/media/FNadfbrX0AIYvmm.jpg
University of Waterloo,University of Waterloo,,,,,,,,,,29,,2022-03-14T18:38:46.000Z,Mon Mar 14 18:38:46 +0000 2022,13,Happy #PiDay! ?? https://t.co/fjS1POymd9,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/WaterlooMath/status/1503381419506106370 ,1,0,,,https://pbs.twimg.com/media/FNaqVC1VIAAXrEW.jpg
