,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,,
Western University,Western University,,,,,,,,,,,,2022-03-23T16:44:01.000Z,Wed Mar 23 16:44:01 +0000 2022,1,#WesternU students take on the challenge to solve some of the world's most pressing issues at the annual World's Challenge Challenge competition. Final competition is March 24. Here's a look at the top 10 finalists. @westernuIntl #WorldsChallengeChallenge https://t.co/WKyIFT5bK5,1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/03/western-students-take-on-challenge-to-help-solve-worlds-problems/ ,2,1,,,
WeRPN,Western University,,,,,,,,,,,,2022-03-23T14:34:00.000Z,Wed Mar 23 14:34:00 +0000 2022,0,"RT @we_rpn : In response to the #nursing shortage in #Ontario, @WesternU is offering a program to help #nurses fast track their qualifications to become #RNs. The program will provide the opportunity to #RPNs who have some Univ. experience to receive a BSc in nursing. https://t.co/UCwP2NOXRG https://t.co/vcjvRdEtKb",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://bit.ly/3DhGJ5D ,5,1,photo,https://pbs.twimg.com/media/FOfWDjRX0AQGK8D.jpg,
Social Sci @WesternU,Western University,,,,,,,,,,,,2022-03-22T23:22:01.000Z,Tue Mar 22 23:22:01 +0000 2022,0,"RT @westernuSocSci : “If the land isn’t doing well, then we as a people aren’t doing well, and our youth aren’t doing well,” said Hillary McGregor, an Anishnaabe youth from Whitefish River First Nation, part of the Climate Crisis &amp; Multi-Generational Resilience Wisdom Council. https://t.co/WexfrRj1Vt https://t.co/wqIqCJQyKY",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://ssc.uwo.ca/news/2022/fostering_multigenerational_resilience_in_the_face_of_the_climate_crisis.html ,0,0,photo,https://pbs.twimg.com/media/FOeY2SIWQAgGhqY.jpg,
Western Libraries,Western University,,,,,,,,,,,,2022-03-22T22:23:01.000Z,Tue Mar 22 22:23:01 +0000 2022,0,"RT @westernulibs : Isn't it a-Mezz-ing? ??

Pop by Weldon to test out the new study spots on the mezzanine. Apart from a few finishing touches, the Weldon Learning Commons is nearly complete. ??

Learn more, #WesternU ??
https://t.co/Cfc6hOlu5z https://t.co/Q0FvitxNvi",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://weldonrenos.uwo.ca/2022/03/learning-commons-now-open/ ,1,0,photo,https://pbs.twimg.com/media/FOeOffgX0AsDLuQ.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-22T21:30:51.000Z,Tue Mar 22 21:30:51 +0000 2022,12,"The #WesternU community mourns the passing of philanthropist Sonia Labatt, and indefatigable supporter of the university, of #nursing education and #healthsciences. #philanthropy @westernuFHS https://t.co/sNyzPs5jei",6,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/03/western-community-remembers-philanthropist-sonia-labatt/ ,4,1,,,
Ivey Business School,Western University,,,,,,,,,,,,2022-03-22T19:14:01.000Z,Tue Mar 22 19:14:01 +0000 2022,0,"RT @iveybusiness : We are pleased to share our new strategic plan, which builds on our nearly 100-year legacy of real-world leadership. The new strategy aims to inspire leaders for a sustainable and prosperous world and address critical issues facing business and society.  
https://t.co/5dXQsplHog",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://www.ivey.uwo.ca/news/news-ivey/2022/march/introducing-ivey-next-innovating-for-impact/ ,0,0,,,
Western University,Western University,,,,,,,,,,,,2022-03-22T17:22:01.000Z,Tue Mar 22 17:22:01 +0000 2022,3,"“I stay in London because I planted my roots here. Our way was paved for us, and it’s our role to pave the way for those who are coming after us.” - @ChristinaLord1 

Keep learning after #BlackHistoryMonth with #WesternU:
https://t.co/9bEIXfoXiG",1,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://www.youtube.com/watch?v=0V420bkeuWw&t=2s ,2,1,,,
Student Experience,Western University,,,,,,,,,,,,2022-03-22T16:22:01.000Z,Tue Mar 22 16:22:01 +0000 2022,0,"RT @westernuSE : Calling all @WesternU, @BresciaUC, @huronatwestern &amp; @KingsAtWestern students with disabilities! We're pleased to launch the Disability Community Discord server, where students with self-identified or diagnosed disabilities can connect and build community. https://t.co/dQK9c7Y9ut https://t.co/fmUas8bEFg",0,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Retweet,https://forms.office.com/r/uDsNfRGJ14 ,0,4,photo,https://pbs.twimg.com/media/FOdf8XrWYAExPkx.jpg,
Dr. Jamie Seabrook,Western University,,,,,,,,,,,,2022-03-22T13:43:19.000Z,Tue Mar 22 13:43:19 +0000 2022,0,RT @Jamie_Seabrook1 : Dr. Peggy O'Neil from @BresciaUC giving the keynote presentation at the Building Sustainable Food Systems Symposium @FanshaweCollege @WesternU @OCInnovation @LondonEDC https://t.co/iGNBDZjYuK,0,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Retweet,,0,5,photo,https://pbs.twimg.com/media/FOdRuBpXMAs_JyI.jpg,
Western University,Western University,,,,,,,,,,,,2022-03-22T10:44:00.000Z,Tue Mar 22 10:44:00 +0000 2022,20,"A new, one-of-a-kind #WesternU multi-disciplinary specialization for graduate students will help them use machine learning and #AI to solve complex problems in health care and medicine. @SchulichMedDent @westernuScience @westernuEng #cdnpse #onpse https://t.co/dKeKBf4V9L",14,en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",Tweet,https://news.westernu.ca/2022/03/program-links-ai-health-research/ ,4,3,,,
